Key,File,Type,UsedInMainMenu,NoTranslate,english
FPSPoweredlightSconce_2x1,blocks,Block,,,FPS Sconce Light 2x1
FPSPoweredceilingFanLight,blocks,Block,,,FPS Ceiling Fan Light
FPSPoweredendTableLamp,blocks,Block,,,FPS End Table Lamp
FPSPoweredsignExitLight,blocks,Block,,,FPS Exit Sign Ceiling Mount Centered
FPSPoweredsignExitLightOffset,blocks,Block,,,FPS Exit Sign Ceiling Mount Offset
FPSPoweredsignExitFrameMount,blocks,Block,,,FPS Exit Sign Frame Mount
FPSPoweredsignExitFrameMountHigh,blocks,Block,,,FPS Exit Sign Frame Mount High
FPSPoweredsignExitFrameMount2mCentered,blocks,Block,,,FPS Exit Sign Frame Mount 2m Centered
FPSPoweredsignExitFrameMountHigh2mCentered,blocks,Block,,,FPS Exit Sign Frame Mount High 2m Centered
FPSPoweredsignExitWallMount,blocks,Block,,,FPS Exit Sign Wall Mount
FPSPoweredsignExitWallMountHigh,blocks,Block,,,FPS Exit Sign Wall Mount High
FPSPoweredroadBarricadeLight,blocks,Block,,,FPS Road Barricade Light
FPSPowereddeskLampLight,blocks,Block,,,FPS Brass Desk Lamp 
FPSPowereddeskLampLight02White,blocks,Block,,,FPS White Desk Lamp
FPSPowereddeskLampLight02Brown,blocks,Block,,,FPS Brown Desk Lamp
FPSPowereddeskLampLight02Red,blocks,Block,,,FPS Red Desk Lamp
FPSPowereddeskLampLight02Orange,blocks,Block,,,FPS Orange Desk Lamp
FPSPowereddeskLampLight02Yellow,blocks,Block,,,FPS Yellow Desk Lamp
FPSPowereddeskLampLight02Green,blocks,Block,,,FPS Green Desk Lamp
FPSPowereddeskLampLight02Blue,blocks,Block,,,FPS Blue Desk Lamp
FPSPowereddeskLampLight02BPurple,blocks,Block,,,FPS Purple Desk Lamp
FPSPowereddeskLampLight02BGrey,blocks,Block,,,FPS Grey Desk Lamp
FPSPowereddeskLampLight02Black,blocks,Block,,,FPS Black Desk Lamp
FPSPowereddeskLampLight02Pink,blocks,Block,,,FPS Pink Desk Lamp
FPSPoweredtableLampLight01White,blocks,Block,,,FPS White Table Lamp
FPSPoweredtableLampLight01Brown,blocks,Block,,,FPS Brown Table Lamp
FPSPoweredtableLampLight01Red,blocks,Block,,,FPS Red Table Lamp
FPSPoweredtableLampLight01Orange,blocks,Block,,,FPS Orange Table Lamp
FPSPoweredtableLampLight01Yellow,blocks,Block,,,FPS Yellow Table Lamp
FPSPoweredtableLampLight01Green,blocks,Block,,,FPS Green Table Lamp
FPSPoweredtableLampLight01Blue,blocks,Block,,,FPS Blue Table Lamp
FPSPoweredtableLampLight01Purple,blocks,Block,,,FPS Purple Table Lamp
FPSPoweredtableLampLight01Grey,blocks,Block,,,FPS Grey Table Lamp
FPSPoweredtableLampLight01Black,blocks,Block,,,FPS Black Table Lamp
FPSPoweredtableLampLight01Pink,blocks,Block,,,FPS Pink Table Lamp
FPSPoweredtableLampLight01CenteredWhite,blocks,Block,,,FPS White Table Lamp Centered
FPSPoweredtableLampLight01CenteredBrown,blocks,Block,,,FPS Brown Table Lamp Centered
FPSPoweredtableLampLight01CenteredRed,blocks,Block,,,FPS Red Table Lamp Centered
FPSPoweredtableLampLight01CenteredOrange,blocks,Block,,,FPS Orange Table Lamp Centered
FPSPoweredtableLampLight01CenteredYellow,blocks,Block,,,FPS Yellow Table Lamp Centered
FPSPoweredtableLampLight01CenteredGreen,blocks,Block,,,FPS Green Table Lamp Centered
FPSPoweredtableLampLight01CenteredBlue,blocks,Block,,,FPS Blue Table Lamp Centered
FPSPoweredtableLampLight01CenteredPurple,blocks,Block,,,FPS Purple Table Lamp Centered
FPSPoweredtableLampLight01CenteredGrey,blocks,Block,,,FPS Grey Table Lamp Centered
FPSPoweredtableLampLight01CenteredBlack,blocks,Block,,,FPS Black Table Lamp Centered
FPSPoweredtableLampLight01CenteredPink,blocks,Block,,,FPS Pink Table Lamp Centered
FPSPoweredtableLampLight01TippedOverWhite,blocks,Block,,,FPS White Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverBrown,blocks,Block,,,FPS Brown Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverRed,blocks,Block,,,FPS Red Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverOrange,blocks,Block,,,FPS Orange Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverYellow,blocks,Block,,,FPS Yellow Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverGreen,blocks,Block,,,FPS Green Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverBlue,blocks,Block,,,FPS Blue Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverPurple,blocks,Block,,,FPS Purple Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverGrey,blocks,Block,,,FPS Grey Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverBlack,blocks,Block,,,FPS Black Table Lamp Tipped Over
FPSPoweredtableLampLight01TippedOverPink,blocks,Block,,,FPS Pink Table Lamp Tipped Over
FPSPoweredworkLightPOI,blocks,Block,,,FPS Work Light
FPSPoweredstreetLight01,blocks,Block,,,FPS Pole Mounted Street Light
FPSPoweredstreetLightClassic,blocks,Block,,,FPS Classic Street Light
