Key,File,Type,UsedInMainMenu,english,russian
zrb-fireresist1,buffs,buff,,"Fire Resist Lv. 1","Сопр. урону от огня, Ур. 1"
zrb-fireresist2,buffs,buff,,"Fire Resist Lv. 2","Сопр. урону от огня, Ур. 2"
zrb-fireresist3,buffs,buff,,"Fire Resist Lv. 3","Сопр. урону от огня, Ур. 3"
zrb-fireresist4,buffs,buff,,"Fire Resist Lv. 4","Сопр. урону от огня, Ур. 4"
zrb-fireresist5,buffs,buff,,"Fire Resist Lv. 5","Сопр. урону от огня, Ур. 5"

zrb-maxhealth1,buffs,buff,,"Max Health Lv. 1","Повышение здоровья, Ур. 1"
zrb-maxhealth2,buffs,buff,,"Max Health Lv. 2","Повышение здоровья, Ур. 2"
zrb-maxhealth3,buffs,buff,,"Max Health Lv. 3","Повышение здоровья, Ур. 3"
zrb-maxhealth4,buffs,buff,,"Max Health Lv. 4","Повышение здоровья, Ур. 4"
zrb-maxhealth5,buffs,buff,,"Max Health Lv. 5","Повышение здоровья, Ур. 5"

zrb-shotgunresist1,buffs,buff,,"Shotgun Resist Lv. 1","Сопр. урону от дробовиков, Ур. 1"
zrb-shotgunresist2,buffs,buff,,"Shotgun Resist Lv. 2","Сопр. урону от дробовиков, Ур. 2"
zrb-shotgunresist3,buffs,buff,,"Shotgun Resist Lv. 3","Сопр. урону от дробовиков, Ур. 3"
zrb-shotgunresist4,buffs,buff,,"Shotgun Resist Lv. 4","Сопр. урону от дробовиков, Ур. 4"
zrb-shotgunresist5,buffs,buff,,"Shotgun Resist Lv. 5","Сопр. урону от дробовиков, Ур. 5"

zrb-strong1,buffs,buff,,"Strong Lv. 1","Силач, Ур. 1"
zrb-strong2,buffs,buff,,"Strong Lv. 2","Силач, Ур. 2"
zrb-strong3,buffs,buff,,"Strong Lv. 3","Силач, Ур. 3"
zrb-strong4,buffs,buff,,"Strong Lv. 4","Силач, Ур. 4"
zrb-strong5,buffs,buff,,"Strong Lv. 5","Силач, Ур. 5"
