Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
drinkSodaRootBeerDesc,items,Food,,,"Old can of Old Tyme Root Beer soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка корневого пива Старого Тима. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaStarCola,items,Food,,,Star Cola,"Звёздная кола"
drinkSodaStarColaDesc,items,Food,,,"Old can of Star Cola soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка звёздной колы. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaFizzCola,items,Food,,,Fizz Cola,"Фиц"
drinkSodaFizzColaDesc,items,Food,,,"Old can of Fizz Cola soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка газировки Фиц. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaDietFizzCola,items,Food,,,Diet Fizz Cola,"Фиц Диетическая"
drinkSodaDietFizzColaDesc,items,Food,,,"Old can of Fizz Cola soda, Diet version. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка газировки Фиц Диетическая. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaSirP,items,Food,,,Sir P.,"Сёрп"
drinkSodaSirPDesc,items,Food,,,"Old can of Sir P. soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка газировки Сёрп. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaFrasRootBeer,items,Food,,,Fras Root Beer,""Рутбир Фрас"
drinkSodaFrasRootBeerDesc,items,Food,,,"Old can of Fras Root Beer soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка корневого пива Фрас. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaCitrussy,items,Food,,,Citrussy,"Милый цитрус"
drinkSodaCitrussyDesc,items,Food,,,"Old can of Citrussy soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка газировки Милый цитрус. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkOrangeJuice,items,Food,,,Orange Juice,Апельсиновый сок
drinkOrangeJuiceDesc,items,Food,,,"Jar of Orange Juice made from Juice Aid concentrate.\n\nYout's quite delicious, even though the concentrate is old.","Банка с апельсиновым соком из концентрата Juice Aid.\n\nНесмотря на то, что концентрат просрочен, сок получился вкусным."
drinkOrangeQuest,items,Food,,,Orange Quest,"Сок Orange Quest"
drinkOrangeQuestDesc,items,Food,,,"Plastic bottle of Orange Quest flavored juice drink.\n\nYout's not too bad, even though it doesn't taste like real orange.","Пластиковая бутылка сока Orange Quest с натуральным ароматом апельсина.\n\nЖажду утоляет, хоть и вкус настоящего апельсина напоминает лишь отчасти."
drinkSportDrink,items,Food,,,Sport Drink,"Спортглоток"
drinkSportDrinkDesc,items,Food,,,"Dusty bottle of what appears to be a generic Sports Drink.\n\nThe electrolytes might be good for dehydration.","Пыльная бутылка с содержимым, напоминающим Спортглоток.\n\nЭлектролиты могут помочь при обезвоживании."
drinkHerbalTonic,items,Food,,,Herbal Tonic,"Травяной тоник"
drinkHerbalTonicDesc,items,Food,,,"Dusty can of Red Tea-flavored Herbal Tonic.\n\nHerbal tonics tend to give vigor and vitality. It's probably good for that.","Банка травяного тоника со вкусом красного чая.\n\nТакие напитки придают сил и повышают бодрость."
drinksSixPack,items,Food,,,Six Pack of Soda,"Шесть банок"
drinksSixPackDesc,items,Food,,,"Untouched, but old, six pack of soda. The label has worn off to reveal the bare aluminum.\nThey could be from any brand.","Нетронутая, потёртая коробка с шестью упаковками газировки.\nЭтикетка стёрлась и что именно внутри - непонятно."
drinkWineRed,items,Food,,,Red Impact Wine,"Вино Красная угроза"
drinkWineRedDesc,items,Food,,,"Dusty glass bottle of Red Impact Wine. The label reads BOLD FLAVOR.\n\nYout probably tastes like vinegar at this point.\n...But there's no harm in that, is there?","Пыльная бутылка вина Красная угроза. На этикетке осталась лишь надпись ЯРКИЙ ВКУС.\n\nСейчас это вино на вкус наверняка напоминает уксус...\nНо вряд ли способно навредить, ведь так?"
foodCanSeasoning,items,Food,,,Can of Cajun Seasoning,"Банка с Каджунской приправой"
foodCanSeasoningDesc,items,Food,,,"Sealed can of Cajun Pride Seasoning. Sounds spicy.\n\nYou probably shouldn't eat this, but you could if you wanted to.","Запечатанная банка с Каджунской приправой. Звучит остренько.\n\nСкорее всего, это не стоит есть, но никто не запрещает."
foodChips,items,Food,,,Can of Potato Chips,"Чипсы - Даймонд"
foodChipsDesc,items,Food,,,"Sealed can of Diamond Chips.\n\nCrunch from a can? Maybe a few years ago...","Запечатанная банка с чипсами Даймонд.\n\nОбещание невероятного хруста внутри сейчас уже не очень актуально..."
foodChipsOopsClassic,items,Food,,,Bag of Classic Potato Chips,"Чипсы - Классические"
foodChipsOopsClassicDesc,items,Food,,,"Sealed bag of Oops! All Air, Classic flavored potato chips.\n\nAll air? Hopefully that isn't completely true. There better be something inside.",,"Пачка классических картофельных чипсов. На упаковке слоган - Легче воздуха.\n\nБудем надеяться, что внутри всё же что-то есть."
foodChipsOopsSourCream,items,Food,,,Bag of Sour Cream & Onion Potato Chips,"Чипсы - Сметана и лук"
foodChipsOopsSourCreamDesc,items,Food,,,"Sealed bag of Oops! all Air, Sour Cream & Onion potato chips.\n\nAll air? Hopefully that isn't completely true. There better be something inside.","Пачка чипсов со вкусом сметаны и лука. На упаковке слоган - Легче воздуха.\n\nБудем надеяться, что внутри всё же что-то есть."
foodChipsNachiosBlue,items,Food,,,Bag of Good Tortilla Chips,"Чипсы - Добрая тортилья"
foodChipsNachiosBlueDesc,items,Food,,,"Sealed bag of Nachios Tortilla Chips, Good Flavor.\n\nHopefully they are as delicious as they look on the package.","Пачка чипсов Добрая тортилья, они же начос. Пахнут неплохо.\n\nБудем надеяться, что на вкус окажутся такими же."
foodChipsNachiosRed,items,Food,,,Bag of Gross Cheese Tortilla Chips,"Чипсы - Большая сырная тортилья"
foodChipsNachiosRedDesc,items,Food,,,"Sealed bag of Nachios Tortilla Chips, Gross 'Cheese' Flavor.\n\nWhy is 'Cheese' in quotes? It better not be fake...","Пачка сырных начос, на которой сыр почему-то в кавычках.\n\nБудем надеяться, не подделка."
foodDaBoxCereal,items,Food,,,Box of Cereal,"Хлопья ДаБокс"
foodDaBoxCerealDesc,items,Food,,,"Sealed box of DaBox Cereal. Most likely stale.\n\nFood is food, though...","Упаковка зерновых хлопьев ДаБокс. Скорее всего, с плесенью.\n\nВпрочем, еда есть еда..."
foodFlour,items,Food,,,Bag of All-Purpose Flour,"Мука общего назначения"
foodFlourDesc,items,Food,,,"Old, Sealed bag of generic, Pure Grain Flour.\n\nDon't eat it. Seriously. Raw flour could kill me.","Пачка настоящей, старой, муки.\n\nИспользуйте для приготовления еды. Непосредственное употребление в пищу сделает из вас труп."
foodFrozenOJCon,items,Food,,,Gallon of Juice Concentrate,"Концентрат апельсинового сока Juice Aid"
foodFrozenOJConDesc,items,Food,,,"Rather large bottle of Juice Aid Concentrate. It's probably still good.\n\nYout could probably be used to make orange juice.","Большая бутылка с концентратом апельсинового сока Juice Aid.\n\nМожно разбавить и приготовить апельсиновый сок."
foodCanSoupTomato,items,Food,,,Can of Tomato Soup,"Банка с томатным супом"
foodCanSoupTomatoDesc,items,Food,,,"A generic can of HOT Soup. It says it has Robust Flavor.\n\nYout's probably tomato, based on the color of the can.","Банка ОСТРОГО супа. Этикетка обещает яркий вкус.\n\nСудя по всему, внутри явно есть томаты."
foodVanillaWafers,items,Food,,,Box of Waffers,"Вафлеры"
foodVanillaWafersDesc,items,Food,,,"Box of 'English Waffers'. The misspelling is probably a production error.\n\nThe wafer on the box looks like Vanilla flavor.","Коробка английских вафлеров. Скорее всего, это какая-то разновидность вафель.\n\nСудя по упаковке, с ванильным ароматом."
foodBretzels,items,Food,,,Bag of Hard Pretzels,"Твёрдый крендель"
foodBretzelsDesc,items,Food,,,"Sealed bag of Wagz branded Bretzels, baked with whole wheat.\n\nQui Diable Mange....it's difficult to make out the rest. Who the hell eats what?","Упаковка фирменных бретцелей из цельнозерновой муки.\n\nТвёрже самых твёрдых зубов... кто вообще такое ест?"
foodBeefJerkyNicks,items,Food,,,Bag of Beef Jerky,"Вяленая говядина"
foodBeefJerkyNicksDesc,items,Food,,,"Sealed bag of Thick Nick's Beef Jerky, Original flavor.\n\nYout doesn't look half bad, and the bag says it's 100% beef. It better be.","Упаковка вяленой говядины от Толстого Ника, особый вкус.\n\nВыглядит неплохо, а на упаковке написано, что это 100% говядина. Будем надеяться."
foodPrimeGranola,items,Food,,,Chocolate Chip Granola Bar,"Шоколадные батончики с гранолой"
foodPrimeGranolaDesc,items,Food,,,"Sealed package of Prime Bars Granola Bars.\n\nThe flavor says Chocolate with Granola Bits. Still, it's better than nothing.","Упаковка батончиков с гранолой.\n\nСудя по всему, шоколадные. Лучше, чем ничего."
foodParadisPeanuts,items,Food,,,Bag of Salted Peanuts,"Солёный арахис"
foodParadisPeanutsDesc,items,Food,,,"Sealed bag of Paradis Nuts branded Peanuts.\n\nLet's hope they aren't rancid.","Упаковка солёного арахиса, обещающая райское наслаждение.\n\nБудем надеяться, что в рай мы попадём без прогорклого вкуса."
foodParadisAlmonds,items,Food,,,Bag of Salted Almonds,"Солёный миндаль"
foodParadisAlmondsDesc,items,Food,,,"Sealed bag of Paradis Nuts branded Almonds.\n\nLet's hope they aren't rancid.","Упаковка солёного миндаля, обещающая райское наслаждение.\n\nБудем надеяться, что в рай мы попадём без прогорклого вкуса."
foodCrackersPeanutButter,items,Food,,,Peanut Butter Sandwich Crackers,"Крекеры с арахисом"
foodCrackersPeanutButterDesc,items,Food,,,"Sealed package of Off Da Fritz Sandwich Crackers, Peanut Butter flavor.\n\nThey're as dry as the desert, but they'll do in a pinch.","Упаковка крекеров со вкусом арахисового масла.\n\nВысохшие, как земля в пустыне, но на крайний случай сойдёт."
foodCrackersCreamCheese,items,Food,,,Cream Cheese & Chives Sandwich Crackers,"Крекеры с луком и сыром"
foodCrackersCreamCheeseDesc,items,Food,,,"Sealed package of Off Da Fritz Sandwich Crackers, Cream Cheese and Chives flavor.\n\nThey're less dry than the peanut butter flavor.","Упаковка крекеров со вкусом лука и сыра.\n\nОни ещё более высохшие, чем с арахисом от этого же производителя."
foodWhiteBread,items,Food,,,White Bread,"Белый хлеб"
foodWhiteBreadDesc,items,Food,,,"A simple loaf of White Bread, made from Flour.\n\nYout doesn't look moldy, nor does it smell bad. Could be tasty.","Самый обычный хлеб, сделанный из муки.\n\nБез неприятного запаха. Должен быть вкусным."
foodButterSpread,items,Food,,,Container of Spreadable Butter,"Маргарин"
foodButterSpreadDesc,items,Food,,,"A plastic container of Butter Balance butter spread.\n\nThe seal inside is still air-tight, and it doesn't smell, so it may still be good for cooking.","Пластиковая упаковка с маргарином.\n\nГерметичность не нарушена и неприятного запаха нет, в готовке пригодится."
