Key,Source,Context,Changes,English,russian
WeaponSpecialistRank5Desc,progression,skills,New,"-30% Weapon Wearout",-30% к износу оружия
WeaponSpecialistRank1LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 10%",Уменьшает износ оружия на 10%.
WeaponSpecialistRank2LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 15%",Уменьшает износ оружия на 15%.
WeaponSpecialistRank3LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 20%",Уменьшает износ оружия на 20%.
WeaponSpecialistRank4LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 25%",Уменьшает износ оружия на 25%.
WeaponSpecialistRank5LongDesc,progression,skills,New,"Decrease the wearout of your weapon by an additional 30%",Уменьшает износ оружия на 30%.

WeaponHandlingName,progression,skills,New,Weapon Handling,Прицел не нужен
WeaponHandlingDesc,progression,skills,New,Increase your weapon handling,"Улучшает наведение при стрельбе от бедра (ADS)"
WeaponHandlingRank1Desc,progression,skills,New,+10% Weapon Handling,На 10% улучшает наведение при стрельбе от бедра
WeaponHandlingRank2Desc,progression,skills,New,+16% Weapon Handling,На 16% улучшает наведение при стрельбе от бедра
WeaponHandlingRank3Desc,progression,skills,New,+20% Weapon Handling,На 20% улучшает наведение при стрельбе от бедра
WeaponHandlingRank4Desc,progression,skills,New,+23% Weapon Handling,На 23% улучшает наведение при стрельбе от бедра
WeaponHandlingRank5Desc,progression,skills,New,+25% Weapon Handling,На 25% улучшает наведение при стрельбе от бедра
WeaponHandlingRank1LongDesc,progression,skills,New,Increase your weapon handling by 10%,Улучшает наведение при стрельбе от бедра на 10%.
WeaponHandlingRank2LongDesc,progression,skills,New,Increase your weapon handling by 16%,Улучшает наведение при стрельбе от бедра на 16%.
WeaponHandlingRank3LongDesc,progression,skills,New,Increase your weapon handling by 20%,Улучшает наведение при стрельбе от бедра на 20%.
WeaponHandlingRank4LongDesc,progression,skills,New,Increase your weapon handling by 23%,Улучшает наведение при стрельбе от бедра на 23%.
WeaponHandlingRank5LongDesc,progression,skills,New,Increase your weapon handling by 25%,Улучшает наведение при стрельбе от бедра на 25%.

LargerMagazinesName,progression,skills,New,Larger Magazines,Архиватор патронов
LargerMagazinesDesc,progression,skills,New,Increase your clip size.,"Увеличивает ёмкость оружейных обойм. Не спрашивайте как, но влезает больше."
LargerMagazinesRank1Desc,progression,skills,New,+10% Larger Magazines,В обойме на 10% патронов больше
LargerMagazinesRank2Desc,progression,skills,New,+16% Larger Magazines,В обойме на 16% патронов больше
LargerMagazinesRank3Desc,progression,skills,New,+20% Larger Magazines,В обойме на 20% патронов больше
LargerMagazinesRank4Desc,progression,skills,New,+23% Larger Magazines,В обойме на 23% патронов больше
LargerMagazinesRank5Desc,progression,skills,New,+25% Larger Magazines,В обойме на 25% патронов больше
LargerMagazinesRank1LongDesc,progression,skills,New,Increase your Magazine Size by 10%,Увеличивает обоймы на 10%.
LargerMagazinesRank2LongDesc,progression,skills,New,Increase your Magazine Size by 16%,Увеличивает обоймы на 16%.
LargerMagazinesRank3LongDesc,progression,skills,New,Increase your Magazine Size by 20%,Увеличивает обоймы на 20%.
LargerMagazinesRank4LongDesc,progression,skills,New,Increase your Magazine Size by 23%,Увеличивает обоймы на 23%.
LargerMagazinesRank5LongDesc,progression,skills,New,Increase your Magazine Size by 25%,Увеличивает обоймы на 25%.

ReloadSpeedName,progression,skills,New,Reload Speed,"Щёлк-щёлк"
ReloadSpeedDesc,progression,skills,New,All this reloading earned you some nimble fingers. Reload even faster now.,"Сотни и тысячи перезарядок сделали ваши пальцы ловкими. Теперь этот жизненно важный процесс происходит быстрее."
ReloadSpeedRank1Desc,progression,skills,New,+8% Reload Speed,+8% к скорости перезарядки
ReloadSpeedRank2Desc,progression,skills,New,+11% Reload Speed,+11% к скорости перезарядки
ReloadSpeedRank3Desc,progression,skills,New,+14% Reload Speed,+14% к скорости перезарядки
ReloadSpeedRank4Desc,progression,skills,New,+17% Reload Speed,+17% к скорости перезарядки
ReloadSpeedRank5Desc,progression,skills,New,+20% Reload Speed,+20% к скорости перезарядки
ReloadSpeedRank1LongDesc,progression,skills,New,Increase your reload speed by 8%,Уменьшает скорость перезарядки на 8%.
ReloadSpeedRank2LongDesc,progression,skills,New,Increase your reload speed by 11%,Уменьшает скорость перезарядки на 11%.
ReloadSpeedRank3LongDesc,progression,skills,New,Increase your reload speed by 14%,Уменьшает скорость перезарядки на 14%.
ReloadSpeedRank4LongDesc,progression,skills,New,Increase your reload speed by 17%,Уменьшает скорость перезарядки на 17%.
ReloadSpeedRank5LongDesc,progression,skills,New,Increase your reload speed by 20%,Уменьшает скорость перезарядки на 20%.

MaximumHealthName,progression,skills,New,Maximum Health,Здоровяк
MaximumHealthDesc,progression,skills,New,Increase your hardiness and thus your maximum health.,Вы пышете здоровьем и сияете жизненной силой.
MaximumHealthRank1Desc,progression,skills,New,+20 Maximum Health,+20 к максимальному здоровью
MaximumHealthRank2Desc,progression,skills,New,+40 Maximum Health,+40 к максимальному здоровью
MaximumHealthRank3Desc,progression,skills,New,+60 Maximum Health,+60 к максимальному здоровью
MaximumHealthRank4Desc,progression,skills,New,+80 Maximum Health,+80 к максимальному здоровью
MaximumHealthRank5Desc,progression,skills,New,+100 Maximum Health,+100 к максимальному здоровью
MaximumHealthRank1LongDesc,progression,skills,New,Increase your maximum health by 20,+20 к максимальному здоровью
MaximumHealthRank2LongDesc,progression,skills,New,Increase your maximum health by 40,+40 к максимальному здоровью
MaximumHealthRank3LongDesc,progression,skills,New,Increase your maximum health by 60,+60 к максимальному здоровью
MaximumHealthRank4LongDesc,progression,skills,New,Increase your maximum health by 80,+80 к максимальному здоровью
MaximumHealthRank5LongDesc,progression,skills,New,Increase your maximum health by 100,+100 к максимальному здоровью

MaximumStaminaName,progression,skills,New,Maximum Stamina,Непрерывность
MaximumStaminaDesc,progression,skills,New,Increase your endurance and thus your maximum stamina.,Ваша выносливость даёт вам возможность работать без перерыва.
MaximumStaminaRank1Desc,progression,skills,New,+20 Maximum Stamina,+20 к запасу выносливости
MaximumStaminaRank2Desc,progression,skills,New,+40 Maximum Stamina,+40 к запасу выносливости
MaximumStaminaRank3Desc,progression,skills,New,+60 Maximum Stamina,+60 к запасу выносливости
MaximumStaminaRank4Desc,progression,skills,New,+80 Maximum Stamina,+80 к запасу выносливости
MaximumStaminaRank5Desc,progression,skills,New,+100 Maximum Stamina,+100 к запасу выносливости
MaximumStaminaRank1LongDesc,progression,skills,New,Increase your maximum Stamina by 20,Увеличивает максимальную выносливость на 20.
MaximumStaminaRank2LongDesc,progression,skills,New,Increase your maximum Stamina by 40,Увеличивает максимальную выносливость на 40.
MaximumStaminaRank3LongDesc,progression,skills,New,Increase your maximum Stamina by 60,Увеличивает максимальную выносливость на 60.
MaximumStaminaRank4LongDesc,progression,skills,New,Increase your maximum Stamina by 80,Увеличивает максимальную выносливость на 80.
MaximumStaminaRank5LongDesc,progression,skills,New,Increase your maximum Stamina by 100,Увеличивает максимальную выносливость на 100.

DamageResistanceName,progression,skills,New,Damage Resistance,Закалённый
DamageResistanceDesc,progression,skills,New,Increase your hardiness and thus your resistance to damage.,"Жизнь вас не только потрепала, но и закалила. Ваше сопротивление урону выросло."
DamageResistanceRank1Desc,progression,skills,New,+4.8% Damage Resistance,+4.8% к сопротивлению урону
DamageResistanceRank2Desc,progression,skills,New,+9.6% Damage Resistance,+9.6% к сопротивлению урону
DamageResistanceRank3Desc,progression,skills,New,+13.6% Damage Resistance,+13.6% к сопротивлению урону
DamageResistanceRank4Desc,progression,skills,New,+16.8% Damage Resistance,+16.8% к сопротивлению урону
DamageResistanceRank5Desc,progression,skills,New,+20% Damage Resistance,+20% к сопротивлению урону
DamageResistanceRank1LongDesc,progression,skills,New,Increase your Damage Resistance by 4.8%.,Увеличивает сопротивление урону на 4.8%.
DamageResistanceRank2LongDesc,progression,skills,New,Increase your Damage Resistance by 9.6%.,Увеличивает сопротивление урону на 9.6%.
DamageResistanceRank3LongDesc,progression,skills,New,Increase your Damage Resistance by 13.6%.,Увеличивает сопротивление урону на 13.6%.
DamageResistanceRank4LongDesc,progression,skills,New,Increase your Damage Resistance by 16.8%.,Увеличивает сопротивление урону на 16.8%.
DamageResistanceRank5LongDesc,progression,skills,New,Increase your Damage Resistance by 20%.,Увеличивает сопротивление урону на 20%.

VigorName,progression,skills,New,Vigor,Экономист
VigorDesc,progression,skills,New,Swinging stuff around the whole time accustomed you to them so now it's less exerting. Lose less Stamina per melee swing.,"Вы долго размахивали всем подряд туда-сюда и наконец поняли, как эффективно экономить выносливость."
VigorRank1Desc,progression,skills,New,-3% Stamina Loss,-3% к потере выносливости
VigorRank2Desc,progression,skills,New,-6% Stamina Loss,-6% к потере выносливости
VigorRank3Desc,progression,skills,New,-9% Stamina Loss,-9% к потере выносливости
VigorRank4Desc,progression,skills,New,-12% Stamina Loss,-12% к потере выносливости
VigorRank5Desc,progression,skills,New,-15% Stamina Loss,-15% к потере выносливости
VigorRank1LongDesc,progression,skills,New,Lose 3% less stamina while swinging melee tools and weapons,Теряйте на 3% меньше выносливости при использовании инструментов и оружия ближнего боя.
VigorRank2LongDesc,progression,skills,New,Lose 6% less stamina while swinging melee tools and weapons,Теряйте на 6% меньше выносливости при использовании инструментов и оружия ближнего боя.
VigorRank3LongDesc,progression,skills,New,Lose 9% less stamina while swinging melee tools and weapons,Теряйте на 9% меньше выносливости при использовании инструментов и оружия ближнего боя.
VigorRank4LongDesc,progression,skills,New,Lose 12% less stamina while swinging melee tools and weapons,Теряйте на 12% меньше выносливости при использовании инструментов и оружия ближнего боя.
VigorRank5LongDesc,progression,skills,New,Lose 15% less stamina while swinging melee tools and weapons,Теряйте на 15% меньше выносливости при использовании инструментов и оружия ближнего боя.

ConstancyName,progression,skills,New,Constancy,Бегун из Нотр-дама
ConstancyDesc,progression,skills,New,All this cardio workout increased your endurance vastly. Regenerate more stamina at all times.,Кардиотренировки начали приносить плоды. Ваша выносливость восстанавливается быстрее.
ConstancyRank1Desc,progression,skills,New,+3% Stamina Regeneration,+3% к восстановлению выносливости
ConstancyRank2Desc,progression,skills,New,+6% Stamina Regeneration,+6% к восстановлению выносливости
ConstancyRank3Desc,progression,skills,New,+9% Stamina Regeneration,+9% к восстановлению выносливости
ConstancyRank4Desc,progression,skills,New,+12% Stamina Regeneration,+12% к восстановлению выносливости
ConstancyRank5Desc,progression,skills,New,+15% Stamina Regeneration,+15% к восстановлению выносливости
ConstancyRank1LongDesc,progression,skills,New,Regenerate 3% more stamina at all times,Восстанавливайте выносливость на 3% быстрее.
ConstancyRank2LongDesc,progression,skills,New,Regenerate 6% more stamina at all times,Восстанавливайте выносливость на 6% быстрее.
ConstancyRank3LongDesc,progression,skills,New,Regenerate 9% more stamina at all times,Восстанавливайте выносливость на 9% быстрее.
ConstancyRank4LongDesc,progression,skills,New,Regenerate 12% more stamina at all times,Восстанавливайте выносливость на 12% быстрее.
ConstancyRank5LongDesc,progression,skills,New,Regenerate 15% more stamina at all times,Восстанавливайте выносливость на 15% быстрее.

RecuperateName,progression,skills,New,Recuperate,Регенератор
RecuperateDesc,progression,skills,New,You've got a very healthy body and can regenerate even faster than other people.,Прекрасно развитое тело позволяет вам излечиваться быстрее других людей.
RecuperateRank1Desc,progression,skills,New,+0.03 Health Regeneration/sec.,+0.03 к восстановлению здоровья в секунду
RecuperateRank2Desc,progression,skills,New,+0.06 Health Regeneration/sec.,+0.06 к восстановлению здоровья в секунду
RecuperateRank3Desc,progression,skills,New,+0.09 Health Regeneration/sec.,+0.09 к восстановлению здоровья в секунду
RecuperateRank4Desc,progression,skills,New,+0.12 Health Regeneration/sec.,+0.12 к восстановлению здоровья в секунду
RecuperateRank5Desc,progression,skills,New,+0.15 Health Regeneration/sec.,+0.15 к восстановлению здоровья в секунду
RecuperateRank1LongDesc,progression,skills,New,Regenerate an additional 0.03 health per second at all times,Восстанавливайте дополнительно 0.03 единиц здоровья в секунду.
RecuperateRank2LongDesc,progression,skills,New,Regenerate an additional 0.06 health per second at all times,Восстанавливайте дополнительно 0.06 единиц здоровья в секунду.
RecuperateRank3LongDesc,progression,skills,New,Regenerate an additional 0.09 health per second at all times,Восстанавливайте дополнительно 0.09 единиц здоровья в секунду.
RecuperateRank4LongDesc,progression,skills,New,Regenerate an additional 0.12 health per second at all times,Восстанавливайте дополнительно 0.12 единиц здоровья в секунду.
RecuperateRank5LongDesc,progression,skills,New,Regenerate an additional 0.15 health per second at all times,Восстанавливайте дополнительно 0.15 единиц здоровья в секунду.

MiningMasteryName,progression,skills,New,Mining Mastery,Сам себе шахтёр
MiningMasteryDesc,progression,skills,New,You've acquired the knowledge to better learn how to gather more resources while mining.,"Все эти бесконечные копания в шахтах 24/7 научили вас добывать с помощью инструментов ещё лучше."
MiningMasteryRank1Desc,progression,skills,New,"+6% more stone, ore and lumber\n+10% Block Damage","На 6% больше камня, руд и дерева при добыче инструментами\n+10% к урону по блокам"
MiningMasteryRank2Desc,progression,skills,New,"+12% more stone, ore and lumber\n+10% Block Damage","На 12% больше камня, руд и дерева при добыче инструментами\n+10% к урону по блокам"
MiningMasteryRank3Desc,progression,skills,New,"+18% more stone, ore and lumber\n+10% Block Damage","На 18% больше камня, руд и дерева при добыче инструментами\n+10% к урону по блокам"
MiningMasteryRank4Desc,progression,skills,New,"+24% more stone, ore and lumber\n+10% Block Damage","На 24% больше камня, руд и дерева при добыче инструментами\n+10% к урону по блокам"
MiningMasteryRank5Desc,progression,skills,New,"+30% more stone, ore and lumber\n+20% Block Damage","На 30% больше камня, руд и дерева при добыче инструментами\n+20% к урону по блокам"
MiningMasteryRank1LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 6%\nIncrease any block damage you cause by 10%.","Добыча камня, руд и дерева на 6% эффективнее.\nУрон по блокам увеличен на 10%."
MiningMasteryRank2LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 12%\nIncrease any block damage you cause by 10%.","Добыча камня, руд и дерева на 12% эффективнее.\nУрон по блокам увеличен на 10%."
MiningMasteryRank3LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 18%\nIncrease any block damage you cause by 10%.","Добыча камня, руд и дерева на 18% эффективнее.\nУрон по блокам увеличен на 10%."
MiningMasteryRank4LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 24%\nIncrease any block damage you cause by 10%.","Добыча камня, руд и дерева на 24% эффективнее.\nУрон по блокам увеличен на 10%."
MiningMasteryRank5LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 30%\nIncrease any block damage you cause by 20%.","Добыча камня, руд и дерева на 30% эффективнее.\nУрон по блокам увеличен на 20%."

ClubMasteryName,progression,skills,New,Club Mastery,Дубинобой
ClubMasteryDesc,progression,skills,New,You've mastered the arts of the club.,Оттачивайте мастерство дубить битой и бить дубиной.
ClubMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Attack Speed","+6% к скорости атаки и урону по врагам для бит и дубин"
ClubMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Attack Speed","+12% к скорости атаки и урону по врагам для бит и дубин"
ClubMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Attack Speed","+18% к скорости атаки и урону по врагам для бит и дубин"
ClubMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Attack Speed","+24% к скорости атаки и урону по врагам для бит и дубин"
ClubMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Attack Speed\n+15% Sprinting Damage","+30% к скорости атаки и урону по врагам для бит и дубин\n+15% к урону с разбега."
ClubMasteryRank1LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 6%","Урон по врагам и скорость атаки для бит и дубин увеличиваются на 6%."
ClubMasteryRank2LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 12%","Урон по врагам и скорость атаки для бит и дубин увеличиваются на 12%."
ClubMasteryRank3LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 18%","Урон по врагам и скорость атаки для бит и дубин увеличиваются на 18%."
ClubMasteryRank4LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 24%","Урон по врагам и скорость атаки для бит и дубин увеличиваются на 24%."
ClubMasteryRank5LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 30%. Damage is increased by an additional 15% if you hit a target while sprinting.","Урон по врагам и скорость атаки битами и дубинами увеличиваются на 30%. Урон дополнительно вырастает на 15%, если вы бьёте цель на бегу."

SledgeMasteryName,progression,skills,New,Sledge Mastery,Кувалдомэтр
SledgeMasteryDesc,progression,skills,New,You've mastered the arts of the sledgehammer.,"Кувалды - ваш конёк."
SledgeMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Attack Speed","+6% к скорости атаки и урону по врагам кувалдами"
SledgeMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Attack Speed","+12% к скорости атаки и урону по врагам кувалдами"
SledgeMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Attack Speed","+18% к скорости атаки и урону по врагам кувалдами"
SledgeMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Attack Speed","+24% к скорости атаки и урону по врагам кувалдами"
SledgeMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Attack Speed","+30% к скорости атаки и урону по врагам кувалдами"
SledgeMasteryRank1LongDesc,progression,skills,New,Increase your entity damage and attack speed with sledgehammers by 6%.,"Увеличивает урон по врагам и скорость атаки кувалдами на 6%."
SledgeMasteryRank2LongDesc,progression,skills,New,Increase your entity damage and attack speed with sledgehammers by 12%.,"Увеличивает урон по врагам и скорость атаки кувалдами на 12%."
SledgeMasteryRank3LongDesc,progression,skills,New,Increase your entity damage and attack speed with sledgehammers by 18%.,"Увеличивает урон по врагам и скорость атаки кувалдами на 18%."
SledgeMasteryRank4LongDesc,progression,skills,New,Increase your entity damage and attack speed with sledgehammers by 24%.,"Увеличивает урон по врагам и скорость атаки кувалдами на 24%."
SledgeMasteryRank5LongDesc,progression,skills,New,Increase your entity damage and attack speed with sledgehammers by 30%.,"Увеличивает урон по врагам и скорость атаки кувалдами на 30%."

BrawlingMasteryName,progression,skills,New,Brawling Mastery,Эксперт по фистингу
BrawlingMasteryDesc,progression,skills,New,You've mastered the arts of brawling.,"Вы знаете, как проникнуть кулаками в глубь противника"
BrawlingMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Attack Speed","+6% к скорости атаки и урону по врагам кулаками и кастетами"
BrawlingMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Attack Speed","+12% к скорости атаки и урону по врагам кулаками и кастетами"
BrawlingMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Attack Speed","+18% к скорости атаки и урону по врагам кулаками и кастетами"
BrawlingMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Attack Speed","+24% к скорости атаки и урону по врагам кулаками и кастетами"
BrawlingMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Attack Speed\n10% faster movement","+30% к скорости атаки и урону по врагам кулаками и кастетами\n+10% к скорости передвижения."
BrawlingMasteryRank1LongDesc,progression,skills,New,"Increase your entity damage and attack speed with your fists and knuckles by 6%","Увеличивает скорость атаки и урон кулаками и кастетами на 6%."
BrawlingMasteryRank2LongDesc,progression,skills,New,"Increase your entity damage and attack speed with your fists and knuckles by 12%","Увеличивает скорость атаки и урон кулаками и кастетами на 12%."
BrawlingMasteryRank3LongDesc,progression,skills,New,"Increase your entity damage and attack speed with your fists and knuckles by 18%","Увеличивает скорость атаки и урон кулаками и кастетами на 18%."
BrawlingMasteryRank4LongDesc,progression,skills,New,"Increase your entity damage and attack speed with your fists and knuckles by 24%","Увеличивает скорость атаки и урон кулаками и кастетами на 24%."
BrawlingMasteryRank5LongDesc,progression,skills,New,"Increase your entity damage and attack speed with your fists and knuckles by 30%. Also you are able to move 10% faster while using your fists or knuckles.","Увеличивает скорость атаки и урон кулаками и кастетами на 30%. Экипировав оружие этого типа, вы движетесь быстрее на 10%."

BladeMasteryName,progression,skills,New,Blade Mastery,Мастер художественного реза
BladeMasteryDesc,progression,skills,New,You've mastered the arts of the blade.,"После встречи с вашими клинками получаются только произведения искусства. Пусть и неприглядные."
BladeMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Attack Speed","+6% к скорости атаки и урону по врагам от оружия с лезвием"
BladeMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Attack Speed","+12% к скорости атаки и урону по врагам от оружия с лезвием"
BladeMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Attack Speed","+18% к скорости атаки и урону по врагам от оружия с лезвием"
BladeMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Attack Speed","+24% к скорости атаки и урону по врагам от оружия с лезвием"
BladeMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Attack Speed\n+2 max bleeding stacks","+30% к скорости атаки и урону по врагам от оружия с лезвием\n+2 эффекта кровотечения на противнике"
BladeMasteryRank1LongDesc,progression,skills,New,"Increase your entity damage and attack speed with bladed weapons by 6%","Скорость атаки и урон по врагу от оружия с лезвием увеличивается на 6%."
BladeMasteryRank2LongDesc,progression,skills,New,"Increase your entity damage and attack speed with bladed weapons by 12%","Скорость атаки и урон по врагу от оружия с лезвием увеличивается на 12%."
BladeMasteryRank3LongDesc,progression,skills,New,"Increase your entity damage and attack speed with bladed weapons by 18%","Скорость атаки и урон по врагу от оружия с лезвием увеличивается на 18%."
BladeMasteryRank4LongDesc,progression,skills,New,"Increase your entity damage and attack speed with bladed weapons by 24%","Скорость атаки и урон по врагу от оружия с лезвием увеличивается на 24%."
BladeMasteryRank5LongDesc,progression,skills,New,"Increase your entity damage and attack speed with bladed weapons by 30%. Also increase the maximum stacks of bleed you can apply by 2.","Скорость атаки и урон по врагу от оружия с лезвием увеличивается на 30%. Вы можете наложить 2 дополнительных эффекта кровотечения."

BatonMasteryName,progression,skills,New,Baton Mastery,Электрошлонгофикатор
BatonMasteryDesc,progression,skills,New,You've mastered the arts of the baton.,"У вас большой, длинный и красивый шлонг. Ах да, ещё он больно бьёт электричеством."
BatonMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Attack Speed","+6% к скорости атаки и урону по врагам жезлами"
BatonMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Attack Speed","+12% к скорости атаки и урону по врагам жезлами"
BatonMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Attack Speed","+18% к скорости атаки и урону по врагам жезлами"
BatonMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Attack Speed","+24% к скорости атаки и урону по врагам жезлами"
BatonMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Attack Speed\n15% Chance of knock down","+30% к скорости атаки и урону по врагам жезлами\n+15% шанс опрокинуть противника"
