Key,File,Type,UsedInMainMenu,english,russian
foodEggSandwichDesc,items,Food,,"The Queen of Hearts, she made some tarts, from chicken eggs, and zombie farts. She makes decent sandwiches too.","Сердец королева, пироговая дева, из куриных яиц и зомбей пердежа бутерброд приготовила - вот это да!"
foodChickenStew,items,Food,,Chicken Stew,Тушёная с овощами курица
foodChickenStewDesc,items,Food,,"Chicken stew provides great sustenance and can put coop reared chickens to good use.","Тушёные цыплята прекрасно насыщают и дают курятнику ещё один смысл существования"
foodWheatFlour,items,Food,,Wheat Flour,Пшеничная мука
foodWheatFlourDesc,items,Food,,"Wheat Flour can be added to recipes.",Используется для приготовления различных блюд

plantedWheat1,blocks,Farming,,Wheat (Seed),Пшеница (семя)
plantedWheat2,blocks,Farming,,Wheat (Midling),Пшеница (растёт)
plantedWheat3Harvest,blocks,Farming,,Wheat (Harvest),Пшеница (готово к сбору)
plantedWheat3HarvestDesc,blocks,Farming,,Wheat (Harvest),Пшеница (готово к сбору)
plantedWheat3HarvestPlayer,blocks,Farming,,Wheat (Harvest),Пшеница (готово к сбору)
plantedWheatHarvestRandomHelper,blocks,Farming,,= Wheat = Random Helper,= Пшеница = Помощник по размещению

foodBagOfRice,items,Farming,,Bag Of Rice,Мешочек с рисом
foodBagOfRiceDesc,items,Farming,,"A Bag of Rice while not edible can be made into a variety of meals.","Рис нельзя употреблять сам по себе, но для готовки - самое то."
foodDough,items,Food,,Dough,Тесто
foodDoughDesc,items,Food,,"Ready-made dough. You kneaded it according to all the rules of the post-apocalypse, remembering to proof it and maintain the right temperature. It’s so perfect that it would ascend to heaven, if not for your plans to bake something delicious out of it.","Готовое тесто. Вы замесили его по всем правилам постапокалипсиса, не забыли о расстойке и температурном режиме. Оно настолько идеально, что вознеслось бы на небо, не планируй вы испечь из него что-нибудь вкусное."
foodBread,items,Food,,Wheat Bread,Пшеничный хлеб
foodBreadDesc,items,Food,,"Homemade wheat bread. It doesn’t compare to store-bought... especially now, when the stores aren’t open.","Самодельный пшеничный хлеб. Не сравнится с покупным... особенно сейчас, когда магазины не работают."

foodCropWheat,items,Farming,,Wheat,Пшеница
foodCropWheatDesc,items,Farming,,"Wheat can be crafted into seeds or used in several recipes.","Можно есть, перерабатывать в семена или использовать в рецептах."

foodChickenFriedRice,items,Food,,Chicken Fried Rice,Курица с рисом
foodChickenFriedRiceDesc,items,Food,,"A serving of Chicken Fried Rice a hearty and quick meal with simple ingredients.","Обжаренная курица с рисом прекрасно подойдёт в качестве полезного и здорового питания."
foodHotdog,items,Food,,Hotdog,Хот-дог
foodHotdogDesc,items,Food,,"The main dish of every self-respecting city dweller. A hot dog, which has nothing to do with dogs. Well, at least not anymore.","Основное блюдо каждого уважающего себя горожанина. Горячая собака, не имеющая никакого отношения к собакам. Ну, по крайней мере, раньше."
foodHamburger,items,Food,,Hamburger,Гамбургер
foodHamburgerDesc,items,Food,,"A homemade patty, ancient cheese, animal fat — and all of this on a bun with imaginary sesame seeds!","Самодельная котлета, стародавний сыр, животный жир - и всё это на булочке с воображаемым кунжутом!"
foodCheese,items,Food,,Cheese,Сыр
foodCheeseDesc,items,Food,,"This cheese has survived the apocalypse, decay, radiation, zombies, rats, and long nights alone with grim thoughts about the future. Now you've found it, and YOU it definitely won't survive.","Этот сыр пережил апокалипсис, разложение, радиацию, зомби, крыс и длинные ночи наедине с мрачными мыслями о будущем. Теперь его нашли вы и ВАС он точно не переживёт."
foodShamSandwichFresh,items,Food,,Fresh Sham Sandwich,Свежий бутерброд с ветчиной
foodShamSandwichFreshDesc,items,Food,,"This sandwich shines with the natural freshness of real industrial ham, complemented by the delicate aroma of cheese and homemade bread. Try to eat it quickly, while you still believe in the previous sentence.","Этот бутерброд сияет природной свежестью настоящей промышленной ветчины, оттенённой нежным ароматом сыра и самодельного хлеба. Постарайтесь съесть его побыстрее, пока верите в предыдущую фразу."
drinkBlueberryJuice,items,Food,,Blueberry Juice,Черничный сок
drinkBlueberryJuiceDesc,items,Food,,"Freshly squeezed blueberry juice. All rumors that it’s diluted with water are purely rumors, and if you spread them, the blueberry police will come for you.","Свежевыжатый черничный сок. Все слухи, что он разбавлен водой, являются исключительно слухами и если вы будете их распространять - за вами приедет черничная полиция."
foodBeefTaco,items,Food,,Beef Taco,Мясные тако
foodBeefTacoDesc,items,Food,,"Nowadays, no one knows if you can really put meat in tacos anymore. Don't ask questions, eat while it tastes good!","Сейчас уже никто не знает, действительно ли в тако можно класть мясо. Прочь вопросы, ешь, пока вкусно!"
drinkBlueberrySmoothie,items,Food,,Blueberry Smoothie, Черничный смузи
drinkBlueberrySmoothieDesc,items,Food,,"Blueberry smoothie. It's like yucca, but with blueberries.","Черничный смузи. Как из юкки, только черничный."
foodChickenParmesan,items,Food,,Chicken Parmesaian,Сырная курица
foodChickenParmesanDesc,items,Food,,"Chicken and cheese come together, diving into a hot, passionate relationship, where fresh eggs play a key role. You're already covered in goosebumps in anticipation of delicious food.","Курица и сыр встречаются вместе, погружаясь в горячие, страстные отношения, в которых не последнюю роль играют свежие яйца. Вы уже в пупырышках от предвкушения вкусной еды."

foodT1-1,progression,Attribute,,Tier 1: Grilled Corn,Tier 1: Кукуруза на гриле
foodT1-2,progression,Attribute,,Tier 1: Baked Potato,Tier 1: Печёный картофель
foodT1-3,progression,Attribute,,Tier 1: Boiled Egg,Tier 1: Варёное яйцо
foodT1-4,progression,Attribute,,Tier 1: Sunflower Butter,Tier 1: Кукурузный хлеб
foodT1-5,progression,Attribute,,Tier 1: Goldenrod Tea,Ур. 1: Чай из золотарника
foodT1-6,progression,Attribute,,Tier 1: Grilled Meat,Ур. 1: Мясо на гриле
foodT1-7,progression,Attribute,,Tier 1: Dough and Wheat Bread,Ур. 1: Тесто и хлеб

foodT2-1,progression,Attribute,,Tier 2: Boiled Meat,Ур. 2: Отварное мясо
foodT2-2,progression,Attribute,,Tier 2: Red Tea,Ур. 2: Красный чай
foodT2-3,progression,Attribute,,Tier 2: Bacon And Eggs,Ур. 2: Яйца и бекон
foodT2-4,progression,Attribute,,Tier 2: ChickenFriedRice,Ур. 2: Курица с рисом
foodT2-5,progression,Attribute,,Tier 2: Pumpkin Bread and Honey Bread,Ур. 2: Тыквенный и медовый хлеб

foodT3-1,progression,Attribute,,Tier 3: Yucca Juice,Ур. 3: Сок из юкки
foodT3-2,progression,Attribute,,Tier 3: Sham Sandwich Fresh,Ур. 3: Свежий сэндвич с ветчиной и Бутерброд с яйцом
foodT3-3,progression,Attribute,,Tier 3: Hot Dog,Ур. 3: Хот-дог
foodT3-4,progression,Attribute,,Tier 3: Blueberry Juice,Ур. 3: Черничный сок
foodT3-5,progression,Attribute,,Tier 3: Yucca Smoothie,Ур. 3: Смузи из юкки

foodT4-1,progression,Attribute,,Tier 4: Blueberry Pie,Ур. 4: Черничный пирог
foodT4-2,progression,Attribute,,Tier 4: Coffee,Ур. 4: Кофе
foodT4-3,progression,Attribute,,Tier 4: Beef Taco,Ур. 4: Мясные тако
foodT4-4,progression,Attribute,,Tier 4: Hamburger,Ур. 4: Гамбургер
foodT4-5,progression,Attribute,,Tier 4: Blueberry Smoothie,Ур. 4: Черничный смузи

foodT5-1,progression,Attribute,,Tier 5: Steak And Potato,Ур. 5: Картофель с мясом
foodT5-2,progression,Attribute,,Tier 5: Vegetable Stew,Ур. 5: Овощное рагу
foodT5-3,progression,Attribute,,Tier 5: Chicken Stew and Hobo Stew,Ур. 5: Рагу бродяги и Куриное рагу
foodT5-4,progression,Attribute,,Tier 5: Honey Beer,Ур. 5: Медовое пиво

foodT6-1,progression,Attribute,,Tier 6: Chili Dog,Ур. 6: Чили-дог
foodT6-2,progression,Attribute,,Tier 6: FishTacos,Ур. 6: Рыбные тако
foodT6-3,progression,Attribute,,Tier 6: Sham Chowder,Ур. 6: Похлёбка из Срама
foodT6-4,progression,Attribute,,Tier 6: Beer,Ур. 6: Пиво

foodT7-1,progression,Attribute,,Tier 7: Tuna Fish Gravy Toast,Ур. 7: Бутерброд с тунцом
foodT7-2,progression,Attribute,,Tier 7: Pumpkin Pie,Ур. 7: Тыквенный пирог
foodT7-3,progression,Attribute,,Tier 7: Grandpas Awesome Sauce,Ур. 7: Дедушкин эликсир
foodT7-4,progression,Attribute,,Tier 7: Chicken Parmesan,Ур. 7: Сырная курица
foodT7-5,progression,Attribute,,Tier 7: Pumpkin Cheesecake,Ур. 7: Тыквенный чизкейк
foodT7-6,progression,Attribute,,Tier 7: MegaCrush,Ур. 7: Мегадавка

foodT8-1,progression,Attribute,,Tier 8: Shepards Pie,Ур. 8: Пастуший пирог
foodT8-2,progression,Attribute,,Tier 8: Honey Pumpkin Pie,Ур. 8: Тыквенный медовик
foodT8-3,progression,Attribute,,Tier 8: Blueberry Bread Pudding,Ур. 8: Черничный пудинг
foodT8-4,progression,Attribute,,Tier 8: Meat Stew,Ур. 8: Мясное рагу

foodT9-1,progression,Attribute,,Tier 9: Quiche and Spaghetti,Ур. 9: Киш и Спагетти
foodT9-2,progression,Attribute,,Tier 9: Grandpas Learning Elixir,Ур. 9: Дедушкин учебный эликсир
foodT9-3,progression,Attribute,,Tier 9: Gumbo Stew,Ур. 9: Рагу Гамбо

seedsT1-1,progression,Attribute,,Tier 1: Goldenrod,Ур. 1: Золотарник
seedsT1-2,progression,Attribute,,Tier 1: Chrysanthemum,Ур. 1: Хризантема
seedsT1-3,progression,Attribute,,Tier 1: Yucca,Ур. 1: Юкка
seedsT1-4,progression,Attribute,,Tier 1: Aloe,Ур. 1: Алоэ

seedsT2-1,progression,Attribute,,Tier 2: Blueberry,Ур. 2: Черника
seedsT2-2,progression,Attribute,,Tier 2: Potato,Ур. 2: Картофель
seedsT2-3,progression,Attribute,,Tier 2: Mushroom,Ур. 2: Грибы

seedsT3-1,progression,Attribute,,Tier 3: Cotton,Ур. 3: Хлопок
seedsT3-2,progression,Attribute,,Tier 3: Corn,Ур. 3: Кукуруза
seedsT3-3,progression,Attribute,,Tier 3: Wheat,Ур. 3: Пшеница

seedsT4-1,progression,Attribute,,Tier 4: Pumpkin,Ур. 4: Тыква
seedsT4-2,progression,Attribute,,Tier 4: Hop,Ур. 4: Хмель
seedsT4-3,progression,Attribute,,Tier 4: Coffee,Ур. 4: Кофе

meleeKatanaSword,items,Melee,,Survivor's Katana,Катана Выжившего
meleeKatanaSwordDesc,items,Melee,,"Based off the famous Japanese Katana. Though not the same quality, it can compete with it fairly well!\nHas a 10% base chance to dismember limbs and harvests a little better.\n\nRepair with Repair Kits.","Создана по образу и подобию японской катаны. Несмотря на не самое идеальное качество, это лучшее, что можно найти в текущих условиях!\nИмеет базовый шанс расчленения 10% и немного лучше в разделке животных, чем другие клинки."

meleeTantoKnife,items,Melee,,Tanto,Танто
meleeTantoKnifeDesc,items,Melee,,"A Tanto was a very common knife for the Japanese. It never failed them and was of the upmost top quality of blades.\nHas a base 10% base chance to dismember limbs and harvests a little better.\n\nRepair with Repair Kits.","Танто - обычный японский нож, однако его создатели всегда следовали традициям качества и надёжности.\nИмеет базовый шанс расчленения 10% и немного лучше в разделке животных, чем другие ножи."

partsKatanaBlade,items,Part,,Katana Blade,Лезвие катаны
partsKatanaHandle,items,Part,,Katana Handle,Рукоять катаны
partsKatanaSpacer,items,Part,,Katana Spacer,Гарда катаны

modGunMeleeNiCdBatteryDA,item_modifiers,Mod,,Crowd Control Module,"Модуль контроля толпы [73E9B2]Контроль[-]"
modGunMeleeNiCdBatteryDADesc,item_modifiers,Mod,,"Give zombies a buzz and stop Rad health regen. Can be used with melee and most firearms (except bows and crossbows).","Наносит электрический урон, вызывает шок и останавливает регенерацию облучённых зомби. Можно использовать с оружием ближнего боя, инструментами и оружием дальнего боя (кроме луков и арбалетов)."

ammo762mmBulletXP,items,item,,"Ammo 7.62mm XP","Интенсивные патроны 7,62 мм"
ammo762mmBulletXPDesc,items,item,,"Not your average round, these pack a punch.","Особые боеприпасы с увеличенным уроном. Дороги в крафте, но оно того стоит."
ammoBundle762mmBulletXP,items,item,,"Box of 7.62mm XP","Коробка интенсивных патронов 7,62 мм"

ammo9mmBulletXP,items,item,,Ammo 9mm XP,"Интенсивные патроны 9 мм"
ammo9mmBulletXPDesc,items,item,,"Not your average round, these pack a punch.","Особые боеприпасы с увеличенным уроном. Дороги в крафте, но оно того стоит."
ammoBundle9mmBulletXP,items,item,,Box of 9mm XP,"Коробка интенсивных патронов 9 мм"

ammo44MagnumBulletXP,items,item,,"Ammo .44 Magnum XP","Интенсивные патроны .44 Магнум"
ammo44MagnumBulletXPDesc,items,item,,"Not your average round, these pack a punch.","Особые боеприпасы с увеличенным уроном. Дороги в крафте, но оно того стоит."
ammoBundle44MagnumBulletXP,items,item,,"Box of .44 Magnum XP","Коробка интенсивных патронов .44 Магнум"

ammoShotgunShellXP,items,item,,"Shotgun XP Shells","Интенсивные патроны для дробовика"
ammoShotgunShellXPDesc,items,item,,"Not your average round, these pack a punch.","Особые боеприпасы с увеличенным уроном. Дороги в крафте, но оно того стоит."
ammoBundleShotgunShellXP,items,item,,"Box of Shotgun XP Shells","Коробка интенсивных патронов для дробовика"

drinkJarEmpty,items,Food,,Empty Water Jar,Пустая банка
drinkJarEmptyDesc,items,Food,,An empty glass jar can be filled at water sources using the secondary action or used in other recipes.,Пустую стеклянную банку можно наполнить водой с помощью дополнительного действия или использовать в различных рецептах.

AMSStarterPack,items,Item,,"AMS - Server Starter Bundle","AMS - Стартовый Серверный Набор"
AMSStarterPackDesc,items,Item,,"Hello, Survivor! To make your immersion into the Land of Harmful Zombies easier and more enjoyable, we give you this little gift. Spend it wisely!","Привет, Выживший! Чтобы погружение в Страну Вредных Зомби прошло легче и приятнее, дарим тебе этот небольшой подарок. Используй его с умом!"

bucketRiverWaterCooking,items,Item,,"Bucket of Boiled Water","Ведро кипячёной воды"
questRewardBoiledWaterBundleDesc,items,Item,,"This bucket contains five drinks of water, 'open' to obtain the drinks.","Это ведро позволит наполнить пять бутылок воды. Просто... откройте его."
drugWaterCleanerPills,items,Item,,"Water purification tablets","Таблетки для очистки воды"
drugWaterCleanerPillsDesc,items,Item,,"This hellish mixture of plant ingredients and natural materials somehow miraculously can purify contaminated water during the boiling process. This trick doesn't work with murky water.","Эта адская смесь растительных компонентов и природных материалов каким-то чудом способна очистить заражённую воду в процессе кипячения. С мутной водой этот фокус не работает."

flagBlockVariantHelper,blocks,block,,Flags,Флаги
flagBlockVariantHelperDesc,blocks,block,,"Allows you to place one of several flags variants.","Позволяет разместить один из нескольких вариантов флагов на выбор."

reqLevel15,progression,,Character Level 15,Уровень персонажа 15
reqLevel35,progression,,Character Level 35,Уровень персонажа 35
reqLevel55,progression,,Character Level 55,Уровень персонажа 55
reqLevel75,progression,,Character Level 75,Уровень персонажа 75
reqLevel95,progression,,Character Level 95,Уровень персонажа 95

buffBedrollHealingName,buffs,buff,,Healing Bedroll,Лечение во сне
buffBedsHealingName,buffs,buff,,Healing Hospital Gurney,"Лечение во сне +"

buffBedrollHealingDesc,buffs,buff,,"Healing Bedroll.\nRefilling Health\nRefreshing Stamina.","Лечение во сне.\nВосстанавливает здоровье\nВосстанавливает выносливость."
buffBedsHealingDesc,buffs,buff,,"Healing Hospital Gurney.\nHealing Wounds\nRefilling Health\nRefreshing Stamina.\nRemoving Hunger.\nRestoring Hydration.","Лечение во сне +.\nИзлечивает часть травм\nВосстанавливает здоровье\nВосстанавливает выносливость."

ToolTipBedrollHealing,buffs,buff,,Healing Bedroll,Лечение от спальника
ToolTipBedsHealing,buffs,buff,,Healing Hospital Gurney,Лечение от кровати

FeelLargeBed01,items,item,,"Beautiful Large Bed","Красивая большая кровать"
FeelHospitalBed01,items,item,,"Feel Hospital Bed","Удобная больничная кровать"
FeelBunkBedVariantHelper,items,item,,"Feel Bunk Bed Variant Helper","Кровати из бункера"
FeelMattressVariantHelper,items,item,,"Feel Mattress Variant Helper","Матрасы"

DisplayValueBedrollHealing,buffs,buff,,First Aid,ПП
DisplayValueBedsHealing,buffs,buff,,"First Aid +","ПП +"

quest_intro_buried_supplies,Quest,Quest Info,,Just Talk To Trader,Разговор с торговцем
quest_intro_buried_supplies_offer,Quest,Quest Info,,"You don't need to bring anything, dig or suffer. Just talk to the trader again.","Ничего не нужно приносить, копать и страдать. Просто поговорите с торговцем ещё раз."
quest_intro_buried_supplies_response,Quest,Quest Info,,Just Talk To Trader ([DECEA3]right in front of you[-]),Разговор с торговцем ([DECEA3]прямо перед вами[-])

perkTreasureHunterDesc,progression,perk Per,,"In this cruel world, experience is the ultimate weapon. Learn how to train effectively to learn and evolve faster.","В этом жестоком мире опыт - главное оружие. Научитесь эффективно учиться и развиваться быстрее."
perkTreasureHunterName,progression,perk Per,,EXP Hunter,Охотник за опытом
perkTreasureHunterRank1Desc,progression,perk Per,,Schoolboy,Школьник
perkTreasureHunterRank1LongDesc,progression,perk Per,,Get 10% more experience for every action.,Получайте на 10% больше опыта за каждое действие.
perkTreasureHunterRank2Desc,progression,perk Per,,Student,Студент
perkTreasureHunterRank2LongDesc,progression,perk Per,,Get 20% more experience for every action.,Получайте на 20% больше опыта за каждое действие.
perkTreasureHunterRank3Desc,progression,perk Per,,Postgraduate,Аспирант
perkTreasureHunterRank3LongDesc,progression,perk Per,,Get 30% more experience for every action.,Получайте на 30% больше опыта за каждое действие.
perkTreasureHunterRank4Desc,progression,perk Per,,Junior Researcher,Младший научный сотрудник
perkTreasureHunterRank4LongDesc,progression,perk Per,,Get 40% more experience for every action.,Получайте на 40% больше опыта за каждое действие.
perkTreasureHunterRank5Desc,progression,perk Per,,Professor,Профессор
perkTreasureHunterRank5LongDesc,progression,perk Per,,Get 50% more experience for every action.,Получайте на 50% больше опыта за каждое действие.

modGunBarrelExtender,item_modifiers,mod,,Barrel Extender Mod,"Модификация «Удлиненный ствол» [73E9B2]Ствол[-]"
modGunBarrelExtenderDesc,item_modifiers,mod,"Increases damage, range and aimed accuracy but makes the weapon more unwieldy when fired from the hip.","Увеличивает урон, дистанцию и точность наводки оружия, но делает неудобной стрельбу от бедра.\nМожно установить на роботизированную пушку.\nНесовместима с другими модификациями такого же типа."
modGunMuzzleBrake,item_modifiers,mod,,Muzzle Brake Mod,"Модификация «Дульный тормоз» [73E9B2]Ствол[-]"
modGunMuzzleBrakeDesc,item_modifiers,mod,"Отводит пороховые газы, уменьшая отдачу.\nМожно установить на роботизированную пушку\nНесовместима с другими модификациями такого же типа."
modGunSoundSuppressorSilencer,item_modifiers,mod,,Silencer Mod,"Модификация «Глушитель» [73E9B2]Ствол[-]"
modGunSoundSuppressorSilencerDesc,item_modifiers,mod,,A sound suppressor greatly reduces the firing sound but reduces maximum range and damage.\nWorks best with small calibers and guns with a low rate of fire.\nWill not work on a revolver.,"Глушитель значительно снижает громкость выстрела, но уменьшает максимальную дальность стрельбы и урон.\nНаиболее эффективен при стрельбе из малокалиберного оружия на короткие дистанции, хотя установить можно на большинство оружия со стволом.\nНесовместима с другими модификациями такого же типа."
modGunLaserSight,item_modifiers,mod,,Laser Sight Mod,"Модификация «Лазерный целеуказатель» [73E9B2]Обвес[-]"
modGunLaserSightDesc,item_modifiers,mod,,Helps with aiming quickly and increases accuracy when firing from the hip.\nInstalls into any firearm or crossbow.\n\nPress F to activate. Hold F to activate multiple items.,"Помогает быстрому наведению и увеличивает точность при стрельбе от бедра.\nУстанавливается на любое огнестрельное оружие или арбалет.\n\nДля включения нажмите клавишу F. Удерживайте клавишу F для включения нескольких предметов.\nНесовместима с другими модификациями такого же типа."
modGunFlashlight,item_modifiers,mod,,Weapon Flashlight Mod,"Модификация «Тактический фонарь» [73E9B2]Обвес[-]"
modGunFlashlightDesc,item_modifiers,mod,,Installs into any firearm or crossbow.\n\nPress F to activate. Hold F to activate multiple items.,"Устанавливается на огнестрельное оружие или арбалет.\n\nДля включения нажмите клавишу F. Удерживайте клавишу F для включения нескольких предметов.\nНесовместима с другими модификациями такого же типа."
modGunScopeSmall,item_modifiers,mod,,Scope 2x Mod,"Модификация «2-кратный оптический прицел» [73E9B2]Прицел[-]"
modGunScopeSmallDesc,item_modifiers,mod,,Increases visual magnification when aiming.\nInstalls into small firearms and crossbows.,"Увеличивает изображение во время прицела.\nУстанавливается на короткоствольное огнестрельное оружие и арбалеты.\nНесовместима с другими модификациями такого же типа."
modGunScopeMedium,item_modifiers,mod,,Scope 4x Mod,"Модификация «4-кратный оптический прицел» [73E9B2]Прицел[-]"
modGunScopeMediumDesc,item_modifiers,mod,,Increases visual magnification when aiming.\nInstalls into medium sized firearms and crossbows.,"Увеличивает изображение во время прицела.\nУстанавливается на огнестрельное оружие средней длины и арбалеты.\nНесовместима с другими модификациями такого же типа."
modGunScopeLarge,item_modifiers,mod,,Scope 8x Mod,"Модификация «8-кратный оптический прицел» [73E9B2]Прицел[-]"
modGunScopeLargeDesc,item_modifiers,mod,,Increases visual magnification when aiming.\nInstalls into long rifles.,"Увеличивает изображение во время прицела.\nУстанавливается на длинноствольное огнестрельное оружие.\nНесовместима с другими модификациями такого же типа"
modGunReflexSight,item_modifiers,mod,,Reflex Sight Mod,"Модификация «Коллиматорный прицел» [73E9B2]Прицел[-]"
